second;src;dst;packetcount;src_ratio;dst_ratio;src_duration_ratio;dst_duration_ratio;TotalPacketDuration;TotalPacketLenght;src_packet_ratio;dst_packet_ratio;DioCount;DisCount;DaoCount;OtherMsg;label
61.0;5;2;8;0.5714285969734192;0.5714285969734192;0.6272833347320557;0.6272833347320557;0.032749176025390625;816;0.6415094137191772;0.6415094137191772;8;0;0;0;0
61.0;2;0;6;0.4285714328289032;0.4285714328289032;0.37271663546562195;0.37271663546562195;0.019458770751953125;456;0.35849055647850037;0.35849055647850037;0;0;6;0;0
63.0;5;11;54;0.10778442770242691;0.1117764487862587;0.16686506569385529;0.16884228587150574;0.15774917602539062;4104;0.10778442770242691;0.1117764487862587;0;0;54;0;0
63.0;7;0;259;0.5169660449028015;0.5169660449028015;0.45217353105545044;0.45217353105545044;0.4274711608886719;19684;0.5169660449028015;0.5169660449028015;0;0;259;0;0
63.0;11;6;186;0.371257483959198;0.371257483959198;0.3789841830730438;0.3789841830730438;0.3582801818847656;14136;0.371257483959198;0.371257483959198;0;0;186;0;0
63.0;1;11;2;0.003992015961557627;0.1117764487862587;0.0019772176165133715;0.16884228587150574;0.00186920166015625;152;0.003992015961557627;0.1117764487862587;0;0;2;0;0
64.0;1;11;30;0.16574585437774658;0.39502763748168945;0.1475469022989273;0.3281145989894867;0.0890655517578125;2280;0.1729365885257721;0.3621338903903961;0;0;30;0;0
64.0;7;0;79;0.21823205053806305;0.21823205053806305;0.1313292533159256;0.1313292533159256;0.1249237060546875;6004;0.20005998015403748;0.20005998015403748;0;0;79;0;0
64.0;6;7;21;0.13812154531478882;0.05801105126738548;0.2284586876630783;0.07285108417272568;0.06929779052734375;1596;0.14691279828548431;0.053180500864982605;0;0;21;0;0
64.0;5;12;30;0.39502763748168945;0.3287292718887329;0.3476688265800476;0.4677050709724426;0.107666015625;2910;0.3831261992454529;0.384625643491745;30;0;0;0;0
64.0;6;12;29;0.13812154531478882;0.3287292718887329;0.2284586876630783;0.4677050709724426;0.14801788330078125;2813;0.14691279828548431;0.384625643491745;29;0;0;0;0
64.0;10;12;30;0.08287292718887329;0.3287292718887329;0.14499634504318237;0.4677050709724426;0.1379241943359375;2910;0.09696444869041443;0.384625643491745;30;0;0;0;0
64.0;5;11;113;0.39502763748168945;0.39502763748168945;0.3476688265800476;0.3281145989894867;0.22304534912109375;8588;0.3831261992454529;0.3621338903903961;0;0;113;0;0
64.0;1;12;30;0.16574585437774658;0.3287292718887329;0.1475469022989273;0.4677050709724426;0.0512847900390625;2910;0.1729365885257721;0.384625643491745;30;0;0;0;0
65.0;7;0;179;0.5280236005783081;0.5280236005783081;0.6581191420555115;0.6581191420555115;0.41864013671875;13604;0.5280236005783081;0.5280236005783081;0;0;179;0;0
65.0;5;11;160;0.4719763994216919;0.4719763994216919;0.3418808579444885;0.3418808579444885;0.21747589111328125;12160;0.4719763994216919;0.4719763994216919;0;0;160;0;0
66.0;9;12;30;0.46875;0.46875;0.5410674810409546;0.5410674810409546;0.13147735595703125;2910;0.5296687483787537;0.5296687483787537;30;0;0;0;0
66.0;11;6;23;0.359375;0.359375;0.3124018907546997;0.3124018907546997;0.0759124755859375;1748;0.31816527247428894;0.31816527247428894;0;0;23;0;0
66.0;6;7;3;0.046875;0.046875;0.039026688784360886;0.039026688784360886;0.00948333740234375;228;0.04149981960654259;0.04149981960654259;0;0;3;0;0
66.0;7;0;8;0.125;0.125;0.10750392824411392;0.10750392824411392;0.026123046875;608;0.1106661781668663;0.1106661781668663;0;0;8;0;0
67.0;3;12;30;1.0;1.0;1.0;1.0;2.2553176879882812;2910;1.0;1.0;30;0;0;0;0
69.0;8;10;36;0.5714285969734192;0.5714285969734192;0.5743412375450134;0.5743412375450134;0.1190643310546875;2736;0.5714285969734192;0.5714285969734192;0;0;36;0;0
69.0;10;6;16;0.2539682686328888;0.2539682686328888;0.2541954815387726;0.2541954815387726;0.05269622802734375;1216;0.2539682686328888;0.2539682686328888;0;0;16;0;0
69.0;6;7;3;0.0476190485060215;0.0476190485060215;0.045745618641376495;0.045745618641376495;0.00948333740234375;228;0.0476190485060215;0.0476190485060215;0;0;3;0;0
69.0;7;0;8;0.1269841343164444;0.1269841343164444;0.1257176548242569;0.1257176548242569;0.02606201171875;608;0.1269841343164444;0.1269841343164444;0;0;8;0;0
71.0;4;12;30;0.5;1.0;0.045676954090595245;1.0;0.493499755859375;2910;0.5;1.0;30;0;0;0;0
71.0;8;12;30;0.5;1.0;0.9543230533599854;1.0;10.310630798339844;2910;0.5;1.0;30;0;0;0;0
81.0;5;2;20;0.6060606241226196;0.6060606241226196;0.4659460484981537;0.4659460484981537;0.03716278076171875;2040;0.6060606241226196;0.6060606241226196;20;0;0;0;0
81.0;7;9;13;0.39393940567970276;0.39393940567970276;0.5340539216995239;0.5340539216995239;0.04259490966796875;1326;0.39393940567970276;0.39393940567970276;13;0;0;0;0
82.0;7;9;44;0.4112149477005005;0.4112149477005005;0.5119103789329529;0.5119103789329529;0.14116668701171875;4488;0.4112149477005005;0.4112149477005005;44;0;0;0;0
82.0;5;2;63;0.5887850522994995;0.5887850522994995;0.4880896508693695;0.4880896508693695;0.1345977783203125;6426;0.5887850522994995;0.5887850522994995;63;0;0;0;0
