second;src;dst;packetcount;src_ratio;dst_ratio;src_duration_ratio;dst_duration_ratio;TotalPacketDuration;TotalPacketLenght;src_packet_ratio;dst_packet_ratio;DioCount;DisCount;DaoCount;OtherMsg;label
61;2;0;156;0,506493509;0,506493509;0,376255572;0,376255572;0,20576;11856;0,506493509;0,506493509;0;0;156;0;1
61;8;10;152;0,493506491;0,493506491;0,623744428;0,623744428;0,34111;11552;0,493506491;0,493506491;0;0;152;0;1
62;2;0;156;0,468468457;0,519519508;0,197651818;0,271247834;0,15053;11856;0,468468457;0,519519508;0;0;156;0;1
62;8;10;160;0,480480492;0,480480492;0,728752196;0,728752196;0,555;12160;0,480480492;0,480480492;0;0;160;0;1
62;7;0;17;0,05105105;0,519519508;0,073596001;0,271247834;0,05605;1292;0,05105105;0,519519508;0;0;17;0;1
64;6;12;30;0,333333343;1;0,221454039;1;0,53837;2910;0,333333343;1;30;0;0;0;1
64;7;12;30;0,333333343;1;0,089658052;1;0,21796;2910;0,333333343;1;30;0;0;0;1
64;9;12;30;0,333333343;1;0,688887894;1;1,67473;2910;0,333333343;1;30;0;0;0;1
66;11;6;24;0,311688304;0,311688304;0,312267095;0,312267095;0,07928;1824;0,311688304;0,311688304;0;0;24;0;1
66;6;7;3;0,038961038;0,519480526;0,03735425;0,519713879;0,00948;228;0,038961038;0,519480526;0;0;3;0;1
66;7;0;13;0,16883117;0,16883117;0,168018997;0,168018997;0,04266;988;0,16883117;0,16883117;0;0;13;0;1
66;9;7;37;0,480519474;0,519480526;0,482359648;0,519713879;0,12246;2812;0,480519474;0,519480526;0;0;37;0;1
67;7;0;3;1;1;1;1;0,0095;228;1;1;0;0;3;0;1
68;10;6;21;0,724137902;0,724137902;0,726872623;0,726872623;0,0693;1596;0,724137902;0,724137902;0;0;21;0;1
68;6;7;3;0,103448279;0,103448279;0,099151731;0,099151731;0,00945;228;0,103448279;0,103448279;0;0;3;0;1
68;7;0;5;0,172413796;0,172413796;0,173975676;0,173975676;0,01659;380;0,172413796;0,172413796;0;0;5;0;1
69;7;0;9;0,112499997;0,112499997;0,05858542;0,05858542;0,02893;684;0,09318801;0,09318801;0;0;9;0;1
69;1;12;30;0,375;0,75;0,212171301;0,868321836;0,10477;2910;0,396457762;0,792915523;30;0;0;0;1
69;3;12;30;0,375;0,75;0,65615052;0,868321836;0,32402;2910;0,396457762;0,792915523;30;0;0;0;1
69;6;7;11;0,137500003;0,137500003;0,073092729;0,073092729;0,03609;836;0,113896459;0,113896459;0;0;11;0;1
70;2;12;30;1;1;1;1;0,85962;2910;1;1;30;0;0;0;1
71;11;12;30;1;1;1;1;2,78638;2910;1;1;30;0;0;0;1
74;5;2;4;0,059701491;0,388059705;0,057938509;0,386279732;0,01281;304;0,059701491;0,388059705;0;0;4;0;1
74;2;0;41;0,611940324;0,611940324;0,613720298;0,613720298;0,13569;3116;0,611940324;0,611940324;0;0;41;0;1
74;3;2;22;0,328358203;0,388059705;0,328341216;0,386279732;0,07259;1672;0,328358203;0,388059705;0;0;22;0;1
75;2;0;3;1;1;1;1;0,00946;228;1;1;0;0;3;0;1
76;4;12;10;1;1;1;1;0,0433;970;1;1;10;0;0;0;1
77;4;12;20;1;1;1;1;4,94286;1940;1;1;20;0;0;0;1
81;7;9;13;1;1;1;1;0,05398;1326;1;1;13;0;0;0;1
82;7;9;15;1;1;1;1;0,06178;1530;1;1;15;0;0;0;1
86;5;12;30;1;1;1;1;10,02921;2910;1;1;30;0;0;0;1
96;10;11;26;1;1;1;1;0,10746;2652;1;1;26;0;0;0;1
99;0;12;30;1;1;1;1;2,07345;2910;1;1;30;0;0;0;1
101;7;12;30;1;1;1;1;0,70596;2910;1;1;30;0;0;0;1
102;2;0;20;1;1;1;1;0,06591;1520;1;1;0;0;20;0;1
104;7;0;29;0,460317463;0,460317463;0,460311085;0,460311085;0,09596;2204;0,460317463;0,460317463;0;0;29;0;1
104;6;7;34;0,539682567;0,539682567;0,539688945;0,539688945;0,11251;2584;0,539682567;0,539682567;0;0;34;0;1
105;7;0;11;0,578947365;0,578947365;0,577013493;0,577013493;0,03558;836;0,578947365;0,578947365;0;0;11;0;1
105;9;7;8;0,421052635;0,421052635;0,422986507;0,422986507;0,02608;608;0,421052635;0,421052635;0;0;8;0;1
110;9;12;30;1;1;1;1;0,8371;2910;1;1;30;0;0;0;1
111;10;12;30;1;1;1;1;1,28701;2910;1;1;30;0;0;0;1
112;2;12;12;1;1;1;1;0,05199;1164;1;1;12;0;0;0;1
113;2;12;18;1;1;1;1;2,94128;1746;1;1;18;0;0;0;1
115;8;10;18;1;1;1;1;0,0598;1368;1;1;0;0;18;0;1
116;8;10;21;0,4375;0,4375;0,439537019;0,439537019;0,06924;1596;0,4375;0,4375;0;0;21;0;1
116;10;6;15;0,3125;0,3125;0,313187093;0,313187093;0,04934;1140;0,3125;0,3125;0;0;15;0;1
116;6;7;4;0,083333336;0,083333336;0,081311442;0,081311442;0,01281;304;0,083333336;0,083333336;0;0;4;0;1
116;7;0;8;0,166666672;0,166666672;0,165964454;0,165964454;0,02615;608;0,166666672;0,166666672;0;0;8;0;1
117;5;2;14;0,424242437;0,424242437;0,421262324;0,421262324;0,04598;1064;0,424242437;0,424242437;0;0;14;0;1
117;2;0;19;0,575757563;0,575757563;0,578737676;0,578737676;0,06317;1444;0,575757563;0,575757563;0;0;19;0;1
118;2;0;25;0,423728824;0,423728824;0,421731621;0,421731621;0,08205;1900;0,423728824;0,423728824;0;0;25;0;1
118;3;2;34;0,576271176;0,576271176;0,578268349;0,578268349;0,11251;2584;0,576271176;0,576271176;0;0;34;0;1
119;6;12;30;1;1;1;1;0,8794;2910;1;1;30;0;0;0;1
120;8;11;5;1;1;1;1;0,02026;510;1;1;5;0;0;0;1
121;1;12;30;1;1;1;1;0,68688;2910;1;1;30;0;0;0;1
122;3;5;25;1;1;1;1;0,1033;2550;1;1;25;0;0;0;1
124;11;6;33;0,75;0,75;0,754294455;0,754294455;0,10921;2508;0,75;0,75;0;0;33;0;1
124;6;7;4;0,090909094;0,090909094;0,088470861;0,088470861;0,01281;304;0,090909094;0,090909094;0;0;4;0;1
124;7;0;7;0,159090906;0,159090906;0,157234699;0,157234699;0,02277;532;0,159090906;0,159090906;0;0;7;0;1
125;6;9;13;0,484848499;0,393939406;0,531328499;0,451284707;0,05347;1326;0,546029508;0,465917081;13;0;0;0;1
125;10;6;9;0,272727281;0,272727281;0,248502806;0,248502806;0,02944;684;0,240337312;0,240337312;0;0;9;0;1
