second;src;dst;packetcount;src_ratio;dst_ratio;src_duration_ratio;dst_duration_ratio;TotalPacketDuration;TotalPacketLenght;src_packet_ratio;dst_packet_ratio;DioCount;DisCount;DaoCount;OtherMsg;label
60;2;0;10;0,25;0,25;0,071826719;0,071826719;0,03274;760;0,207084462;0,207084462;0;0;10;0;0
60;7;11;30;0,75;0,75;0,928173304;0,928173304;0,42305;2910;0,792915523;0,792915523;30;0;0;0;0
61;1;0;63;0,51219511;0,51219511;0,196144536;0,196144536;0,16112;4788;0,451357454;0,451357454;0;0;63;0;0
61;5;11;30;0,243902445;0,48780489;0,066506915;0,803855479;0,05463;2910;0,274321258;0,548642516;30;0;0;0;0
61;6;11;30;0,243902445;0,48780489;0,737348557;0,803855479;0,60567;2910;0,274321258;0,548642516;30;0;0;0;0
62;3;11;30;1;1;1;1;1,84196;2910;1;1;30;0;0;0;0
64;9;11;30;1;1;1;1;4,01281;2910;1;1;30;0;0;0;0
68;1;11;30;1;1;1;1;3,97299;2910;1;1;30;0;0;0;0
72;10;11;30;0,555555582;0,555555582;0,915143251;0,915143251;0,84978;2910;0,614702165;0,614702165;30;0;0;0;0
72;4;1;2;0,037037037;0,037037037;0,006622245;0,006622245;0,00615;152;0,032108154;0,032108154;0;0;2;0;0
72;1;0;22;0,407407403;0,407407403;0,078234509;0,078234509;0,07265;1672;0,353189677;0,353189677;0;0;22;0;0
75;9;11;30;1;1;1;1;0,72939;2910;1;1;30;0;0;0;0
76;4;11;30;1;1;1;1;2,98565;2910;1;1;30;0;0;0;0
79;5;3;23;1;1;1;1;0,09496;2346;1;1;23;0;0;0;0
80;10;4;35;0,432098776;0,432098776;0,432686567;0,432686567;0,11586;2660;0,432098776;0,432098776;0;0;35;0;0
80;4;1;23;0,283950627;0,283950627;0,283870429;0,283870429;0,07601;1748;0,283950627;0,283950627;0;0;23;0;0
80;1;0;23;0,283950627;0,283950627;0,283443034;0,283443034;0,0759;1748;0,283950627;0,283950627;0;0;23;0;0
81;8;11;30;0,48888889;0,333333343;0,652350903;0,546817422;0,23877;2910;0,531994641;0,389558226;30;0;0;0;0
81;8;4;14;0,48888889;0,155555561;0,652350903;0,105533518;0,04608;1064;0,531994641;0,142436415;0;0;14;0;0
81;4;1;23;0,25555557;0,25555557;0,173798338;0,173798338;0,07589;1748;0,23400268;0,23400268;0;0;23;0;0
81;1;0;23;0,25555557;0,25555557;0,173850745;0,173850745;0,07591;1748;0,23400268;0,23400268;0;0;23;0;0
95;3;5;7;1;1;1;1;0,02856;714;1;1;7;0;0;0;0
99;0;11;30;1;1;1;1;0,60242;2910;1;1;30;0;0;0;0
100;5;2;9;0,391304344;0,391304344;0,389883667;0,389883667;0,0294;684;0,391304344;0,391304344;0;0;9;0;0
100;2;0;14;0,608695626;0,608695626;0,610116363;0,610116363;0,04601;1064;0,608695626;0,608695626;0;0;14;0;0
102;2;0;3;1;1;1;1;0,00948;228;1;1;0;0;3;0;0
104;1;11;30;1;0,508474588;1;0,798382163;0,37952;2910;1;0,569026232;30;0;0;0;0
104;1;0;29;1;0,491525412;1;0,201617822;0,09584;2204;1;0,430973798;0;0;29;0;0
105;7;11;30;0,789473712;1;0,792508483;1;0,1251;2910;0,789473712;1;30;0;0;0;0
105;2;11;8;0,210526317;1;0,207491547;1;0,03275;776;0,210526317;1;8;0;0;0;0
106;2;11;22;1;1;1;1;1,19257;2134;1;1;22;0;0;0;0
107;4;1;14;0,101449274;0,101449274;0,123581439;0,123581439;0,04594;1064;0,095700666;0,095700666;0;0;14;0;0
107;1;0;94;0,681159437;0,681159437;0,731966615;0,731966615;0,27213;7144;0,642561615;0,642561615;0;0;94;0;0
107;5;11;30;0,217391297;0,217391297;0,144451976;0,144451976;0,0537;2910;0,261737734;0,261737734;30;0;0;0;0
109;9;11;30;0,555555582;0,555555582;0,622053802;0,622053802;0,08578;2910;0,614702165;0,614702165;30;0;0;0;0
109;5;2;8;0,148148149;0,148148149;0,119674668;0,119674668;0,0165;608;0,128432617;0,128432617;0;0;8;0;0
109;2;0;16;0,296296299;0,296296299;0,258271545;0,258271545;0,03561;1216;0,256865233;0,256865233;0;0;16;0;0
110;7;6;18;0,400000006;0,400000006;0,388079941;0,388079941;0,07422;1836;0,412121207;0,412121207;18;0;0;0;0
