second;src;dst;packetcount;src_ratio;dst_ratio;src_duration_ratio;dst_duration_ratio;TotalPacketDuration;TotalPacketLenght;src_packet_ratio;dst_packet_ratio;DioCount;DisCount;DaoCount;OtherMsg;label
60;2;11;7;1;1;1;1;2,60865;679;1;1;7;0;0;0;1
62;1;0;8;1;1;1;1;0,02609;608;1;1;0;0;8;0;1
63;4;11;30;0,400000006;0,49333334;0,50609082;0,60202384;0,16007;2910;0,44928208;0,55411458;30;0;0;0;1
63;1;0;38;0,50666666;0,50666666;0,39797616;0,39797616;0,12587;2888;0,44588545;0,44588545;0;0;38;0;1
63;0;11;7;0,093333334;0,49333334;0,095933035;0,60202384;0,03034;679;0,104832485;0,55411458;7;0;0;0;1
64;0;11;23;1;1;1;1;2,09034;2231;1;1;23;0;0;0;1
66;10;11;30;0,638297856;0,638297856;0,916208506;0,916208506;0,61282;2910;0,692527354;0,692527354;30;0;0;0;1
66;1;0;17;0,361702114;0,361702114;0,083791494;0,083791494;0,05605;1292;0,307472646;0,307472646;0;0;17;0;1
67;1;11;30;0,5;1;0,104148693;1;0,11329;2910;0,5;1;30;0;0;0;1
67;2;11;30;0,5;1;0,895851314;1;0,97447;2910;0,5;1;30;0;0;0;1
68;6;11;30;0,340909094;0,681818187;0,784745991;0,905899644;0,6024;2910;0,366129845;0,732259691;30;0;0;0;1
68;4;11;30;0,340909094;0,681818187;0,12115369;0,905899644;0,093;2910;0,366129845;0,732259691;30;0;0;0;1
68;2;0;28;0,318181813;0,318181813;0,094100341;0,094100341;0,07224;2128;0,267740309;0,267740309;0;0;28;0;1
69;2;0;4;1;1;1;1;0,01279;304;1;1;0;0;4;0;1
70;3;11;30;1;1;1;1;1,67081;2910;1;1;30;0;0;0;1
71;10;11;30;0,5;1;0,155579656;1;0,07442;2910;0,5;1;30;0;0;0;1
71;0;11;30;0,5;1;0,844420373;1;0,40395;2910;0,5;1;30;0;0;0;1
72;8;11;30;1;1;1;1;0,83994;2910;1;1;30;0;0;0;1
73;5;11;30;0,38961038;0,688311696;0,476408452;0,768148601;0,16277;2910;0,417803288;0,738119185;30;0;0;0;1
73;2;0;24;0,61038959;0,311688304;0,523591518;0,231851369;0,07922;1824;0,582196712;0,261880845;0;0;24;0;1
73;2;11;23;0,61038959;0,688311696;0,523591518;0,768148601;0,09968;2231;0,582196712;0,738119185;23;0;0;0;1
74;2;11;7;0,189189196;1;0,714128137;1;0,76056;679;0,189189196;1;7;0;0;0;1
74;9;11;30;0,810810804;1;0,285871893;1;0,30446;2910;0,810810804;1;30;0;0;0;1
75;1;11;30;0,5;1;0,367073089;1;0,42448;2910;0,5;1;30;0;0;0;1
75;4;11;30;0,5;1;0,632926941;1;0,73192;2910;0,5;1;30;0;0;0;1
76;1;0;82;0,732142866;0,732142866;0,797407627;0,797407627;0,22201;6232;0,681688905;0,681688905;0;0;82;0;1
76;10;11;30;0,267857134;0,267857134;0,202592343;0,202592343;0,0564;2910;0,318311095;0,318311095;30;0;0;0;1
77;7;11;30;0,5;1;0,111622177;1;0,27013;2910;0,5;1;30;0;0;0;1
77;0;11;30;0,5;1;0,888377845;1;2,14994;2910;0,5;1;30;0;0;0;1
79;5;11;30;0,75;1;0,916792393;1;0,47747;2910;0,75;1;30;0;0;0;1
79;1;11;10;0,25;1;0,083207592;1;0,04333;970;0,25;1;10;0;0;0;1
80;1;11;20;1;1;1;1;1,06277;1940;1;1;20;0;0;0;1
81;1;0;22;0,301369876;0,301369876;0,117678292;0,117678292;0,07272;1672;0,252606124;0,252606124;0;0;22;0;1
81;2;11;30;0,410958916;0,698630154;0,735097289;0,882321715;0,45423;2910;0,439643443;0,747393847;30;0;0;0;1
81;9;11;21;0,287671238;0,698630154;0,147224411;0,882321715;0,09097;2037;0,307750404;0,747393847;21;0;0;0;1
82;9;11;9;0,05232558;0,401162803;0,144203231;0,683776259;0,12213;873;0,060119826;0,460918665;9;0;0;0;1
82;4;11;30;0,447674423;0,401162803;0,481587231;0,683776259;0,31705;2910;0,446387976;0,460918665;30;0;0;0;1
82;4;1;47;0,447674423;0,273255825;0,481587231;0,107242592;0,09083;3572;0,446387976;0,245988563;0;0;47;0;1
82;1;0;34;0,197674423;0,197674423;0,132519588;0,132519588;0,11224;2584;0,177949175;0,177949175;0;0;34;0;1
82;10;11;30;0,174418598;0,401162803;0,165228352;0,683776259;0,13994;2910;0,200399429;0,460918665;30;0;0;0;1
82;5;2;22;0,127906978;0,127906978;0,076461583;0,076461583;0,06476;1672;0,115143582;0,115143582;0;0;22;0;1
83;4;1;280;0,512820542;0,512820542;0,488973796;0,488973796;0,48721;21280;0,512820542;0,512820542;0;0;280;0;1
83;5;2;8;0,014652015;0,014652015;0,023874791;0,023874791;0,02379;608;0,014652015;0,014652015;0;0;8;0;1
83;2;0;258;0,472527474;0,472527474;0,487151414;0,487151414;0,48539;19608;0,472527474;0,472527474;0;0;258;0;1
84;2;0;25;0,3125;0,3125;0,239322901;0,239322901;0,08208;1900;0,283159465;0,283159465;0;0;25;0;1
84;5;11;30;0,375;0,375;0,520219743;0,520219743;0,17843;2910;0,433681071;0,433681071;30;0;0;0;1
84;8;4;25;0,3125;0,3125;0,240457341;0,240457341;0,08247;1900;0,283159465;0,283159465;0;0;25;0;1
85;3;11;30;0,5;1;0,265127331;1;0,28374;2910;0,5;1;30;0;0;0;1
85;0;11;30;0,5;1;0,734872699;1;0,78648;2910;0,5;1;30;0;0;0;1
86;8;11;30;1;1;1;1;1,02174;2910;1;1;30;0;0;0;1
87;10;11;30;0,555555582;0,555555582;0,607607365;0,607607365;0,1226;2910;0,614702165;0,614702165;30;0;0;0;1
87;3;2;24;0,444444448;0,444444448;0,392392606;0,392392606;0,07918;1824;0,385297835;0,385297835;0;0;24;0;1
88;1;11;30;0,5;1;0,393190175;1;0,10519;2910;0,5;1;30;0;0;0;1
88;2;11;30;0,5;1;0,606809795;1;0,16235;2910;0,5;1;30;0;0;0;1
89;4;11;30;0,097719871;0,097719871;0,215716898;0,215716898;0,15171;2910;0,121442281;0,121442281;30;0;0;0;1
89;1;0;135;0,439739406;0,439739406;0,58799535;0,58799535;0,41353;10260;0,428177953;0,428177953;0;0;135;0;1
89;8;4;142;0,462540716;0,462540716;0,196287736;0,196287736;0,13805;10792;0,450379759;0,450379759;0;0;142;0;1
90;9;11;30;1;1;1;1;1,13536;2910;1;1;30;0;0;0;1
91;3;11;30;0,612903237;0,580645144;0,691249311;0,75833416;0,3166;2910;0,574250162;0,638624728;30;0;0;0;1
91;5;11;30;0,193548381;0,580645144;0,233951956;0,75833416;0,16475;2910;0,212874904;0,638624728;30;0;0;0;1
91;3;2;65;0,612903237;0,419354826;0,691249311;0,241665855;0,17018;4940;0,574250162;0,361375272;0;0;65;0;1
91;10;11;30;0,193548381;0,580645144;0,074798755;0,75833416;0,05267;2910;0,212874904;0,638624728;30;0;0;0;1
92;3;2;79;0,724770665;0,724770665;0,804022849;0,804022849;0,22202;6004;0,673547208;0,673547208;0;0;79;0;1
92;0;11;30;0,275229365;0,275229365;0,195977122;0,195977122;0,05412;2910;0,326452762;0,326452762;30;0;0;0;1
93;8;11;6;1;1;1;1;0,02599;582;1;1;6;0;0;0;1
94;8;11;24;1;1;1;1;1,00862;2328;1;1;24;0;0;0;1
95;2;11;30;1;1;1;1;1,61195;2910;1;1;30;0;0;0;1
96;5;2;8;1;1;1;1;0,03271;816;1;1;8;0;0;0;1
97;9;11;30;0,5;1;0,123459056;1;0,17444;2910;0,5;1;30;0;0;0;1
97;4;11;30;0,5;1;0,876540959;1;1,23849;2910;0,5;1;30;0;0;0;1
98;5;11;30;1;1;1;1;0,88751;2910;1;1;30;0;0;0;1
