second;src;dst;packetcount;src_ratio;dst_ratio;src_duration_ratio;dst_duration_ratio;TotalPacketDuration;TotalPacketLenght;src_packet_ratio;dst_packet_ratio;DioCount;DisCount;DaoCount;OtherMsg;label
61;5;2;8;0,571428597;0,571428597;0,627283335;0,627283335;0,03275;816;0,641509414;0,641509414;8;0;0;0;0
61;2;0;6;0,428571433;0,428571433;0,372716635;0,372716635;0,01946;456;0,358490556;0,358490556;0;0;6;0;0
63;5;11;54;0,107784428;0,111776449;0,166865066;0,168842286;0,15775;4104;0,107784428;0,111776449;0;0;54;0;0
63;7;0;259;0,516966045;0,516966045;0,452173531;0,452173531;0,42747;19684;0,516966045;0,516966045;0;0;259;0;0
63;11;6;186;0,371257484;0,371257484;0,378984183;0,378984183;0,35828;14136;0,371257484;0,371257484;0;0;186;0;0
63;1;11;2;0,003992016;0,111776449;0,001977218;0,168842286;0,00187;152;0,003992016;0,111776449;0;0;2;0;0
64;1;11;30;0,165745854;0,395027637;0,147546902;0,328114599;0,08907;2280;0,172936589;0,36213389;0;0;30;0;0
64;7;0;79;0,218232051;0,218232051;0,131329253;0,131329253;0,12492;6004;0,20005998;0,20005998;0;0;79;0;0
64;6;7;21;0,138121545;0,058011051;0,228458688;0,072851084;0,0693;1596;0,146912798;0,053180501;0;0;21;0;0
64;5;12;30;0,395027637;0,328729272;0,347668827;0,467705071;0,10767;2910;0,383126199;0,384625643;30;0;0;0;0
64;6;12;29;0,138121545;0,328729272;0,228458688;0,467705071;0,14802;2813;0,146912798;0,384625643;29;0;0;0;0
64;10;12;30;0,082872927;0,328729272;0,144996345;0,467705071;0,13792;2910;0,096964449;0,384625643;30;0;0;0;0
64;5;11;113;0,395027637;0,395027637;0,347668827;0,328114599;0,22305;8588;0,383126199;0,36213389;0;0;113;0;0
64;1;12;30;0,165745854;0,328729272;0,147546902;0,467705071;0,05128;2910;0,172936589;0,384625643;30;0;0;0;0
65;7;0;179;0,528023601;0,528023601;0,658119142;0,658119142;0,41864;13604;0,528023601;0,528023601;0;0;179;0;0
65;5;11;160;0,471976399;0,471976399;0,341880858;0,341880858;0,21748;12160;0,471976399;0,471976399;0;0;160;0;0
66;9;12;30;0,46875;0,46875;0,541067481;0,541067481;0,13148;2910;0,529668748;0,529668748;30;0;0;0;0
66;11;6;23;0,359375;0,359375;0,312401891;0,312401891;0,07591;1748;0,318165272;0,318165272;0;0;23;0;0
66;6;7;3;0,046875;0,046875;0,039026689;0,039026689;0,00948;228;0,04149982;0,04149982;0;0;3;0;0
66;7;0;8;0,125;0,125;0,107503928;0,107503928;0,02612;608;0,110666178;0,110666178;0;0;8;0;0
67;3;12;30;1;1;1;1;2,25532;2910;1;1;30;0;0;0;0
69;8;10;36;0,571428597;0,571428597;0,574341238;0,574341238;0,11906;2736;0,571428597;0,571428597;0;0;36;0;0
69;10;6;16;0,253968269;0,253968269;0,254195482;0,254195482;0,0527;1216;0,253968269;0,253968269;0;0;16;0;0
69;6;7;3;0,047619049;0,047619049;0,045745619;0,045745619;0,00948;228;0,047619049;0,047619049;0;0;3;0;0
69;7;0;8;0,126984134;0,126984134;0,125717655;0,125717655;0,02606;608;0,126984134;0,126984134;0;0;8;0;0
71;4;12;30;0,5;1;0,045676954;1;0,4935;2910;0,5;1;30;0;0;0;0
71;8;12;30;0,5;1;0,954323053;1;10,31063;2910;0,5;1;30;0;0;0;0
81;5;2;20;0,606060624;0,606060624;0,465946048;0,465946048;0,03716;2040;0,606060624;0,606060624;20;0;0;0;0
81;7;9;13;0,393939406;0,393939406;0,534053922;0,534053922;0,04259;1326;0,393939406;0,393939406;13;0;0;0;0
82;7;9;44;0,411214948;0,411214948;0,511910379;0,511910379;0,14117;4488;0,411214948;0,411214948;44;0;0;0;0
82;5;2;63;0,588785052;0,588785052;0,488089651;0,488089651;0,1346;6426;0,588785052;0,588785052;63;0;0;0;0
83;5;11;19;0,558823526;0,558823526;0,564321041;0,564321041;0,06265;1444;0,558823526;0,558823526;0;0;19;0;0
83;11;6;6;0,176470593;0,176470593;0,175233647;0,175233647;0,01945;456;0,176470593;0,176470593;0;0;6;0;0
83;6;7;3;0,088235296;0,088235296;0,085417815;0,085417815;0,00948;228;0,088235296;0,088235296;0;0;3;0;0
83;7;0;6;0,176470593;0,176470593;0,17502749;0,17502749;0,01943;456;0,176470593;0,176470593;0;0;6;0;0
85;5;12;30;1;1;1;1;2,13032;2910;1;1;30;0;0;0;0
87;9;7;26;0,866666675;0,866666675;0,865886509;0,865886509;0,08581;1976;0,866666675;0,866666675;0;0;26;0;0
87;7;0;4;0,13333334;0,13333334;0,134113476;0,134113476;0,01329;304;0,13333334;0,13333334;0;0;4;0;0
88;7;0;3;0,5;0,5;0,487622797;0,487622797;0,00947;228;0,5;0,5;0;0;3;0;0
88;5;2;3;0,5;0,5;0,512377203;0,512377203;0,00995;228;0,5;0,5;0;0;3;0;0
