second;src;dst;packetcount;src_ratio;dst_ratio;src_duration_ratio;dst_duration_ratio;TotalPacketDuration;TotalPacketLenght;src_packet_ratio;dst_packet_ratio;DioCount;DisCount;DaoCount;OtherMsg;label
60;6;11;9;0,054545455;1;0,190214917;1;0,22601;873;0,080408953;1;9;0;0;0;1
60;10;11;156;0,945454538;1;0,809785068;1;0,96217;9984;0,919591069;1;0;156;0;156;1
61;4;11;30;0,161290318;1;0,224116072;1;0,23259;2910;0,225686371;1;30;0;0;0;1
61;10;11;156;0,838709652;1;0,775883913;1;0,80521;9984;0,774313629;1;0;156;0;312;1
62;10;11;156;0,838709652;1;0,605036855;1;0,56436;9984;0,774313629;1;0;156;0;468;1
62;5;11;30;0,161290318;1;0,394963175;1;0,36841;2910;0,225686371;1;30;0;0;0;1
63;7;11;30;0,150000006;1;0,109856829;1;0,09229;2910;0,204181865;1;30;0;0;0;1
63;10;11;156;0,779999971;1;0,817920923;1;0,68712;9984;0,700533271;1;0;156;0;624;1
63;4;11;14;0,07;1;0,072222248;1;0,06067;1358;0,095284872;1;14;0;0;0;1
64;4;11;16;0,07920792;1;0,150922447;1;0,18362;1552;0,107434586;1;16;0;0;0;1
64;6;11;30;0,148514852;1;0,131676972;1;0,1602;2910;0,201439843;1;30;0;0;0;1
64;10;11;156;0,772277236;1;0,717400551;1;0,87281;9984;0,691125572;1;0;156;0;780;1
65;9;11;30;0,138888896;1;0,264994293;1;0,26781;2910;0,184130594;1;30;0;0;0;1
65;10;11;156;0,722222209;1;0,681422532;1;0,68867;9984;0,631738782;1;0;156;0;936;1
65;8;11;30;0,138888896;1;0,053583156;1;0,05415;2910;0,184130594;1;30;0;0;0;1
66;10;11;156;0,732394338;1;0,781973541;1;0,60605;9984;0,643589258;1;0;156;0;1092;1
66;3;11;30;0,140845075;1;0,067018427;1;0,05194;2910;0,187584609;1;30;0;0;0;1
66;5;11;27;0,126760557;1;0,15100804;1;0,11703;2619;0,168826148;1;27;0;0;0;1
