second;src;dst;packetcount;src_ratio;dst_ratio;src_duration_ratio;dst_duration_ratio;TotalPacketDuration;TotalPacketLenght;src_packet_ratio;dst_packet_ratio;DioCount;DisCount;DaoCount;OtherMsg;label
60;1;11;17;1;1;1;1;0,07367;1649;1;1;17;0;0;0;0
61;1;11;13;1;0,382352948;1;0,694612086;0,15762;1261;1;0,441372067;13;0;0;0;0
61;1;0;21;1;0,617647052;1;0,305387914;0,0693;1596;1;0,558627903;0;0;21;0;0
62;2;0;13;1;1;1;1;0,04268;988;1;1;0;0;13;0;0
65;4;1;32;1;0,592592597;1;0,525850654;0,10577;2432;1;0,53263253;0;0;32;0;0
65;4;11;22;1;0,407407403;1;0,474149376;0,09537;2134;1;0,4673675;22;0;0;0;0
66;4;11;8;0,190476194;0,738095224;0,326928884;0,821217835;0,06595;776;0,201925576;0,782461643;8;0;0;0;0
66;1;0;11;0,261904776;0,261904776;0,17878215;0,17878215;0,03606;836;0,217538387;0,217538387;0;0;11;0;0
66;10;11;23;0,547619045;0,738095224;0,494288951;0,821217835;0,09971;2231;0,580536067;0,782461643;23;0;0;0;0
67;10;11;7;0,09589041;0,09589041;0,399160981;0,399160981;0,14446;679;0,119227394;0,119227394;7;0;0;0;0
67;9;8;8;0,10958904;0,10958904;0,071969137;0,071969137;0,02605;608;0,106760316;0,106760316;0;0;8;0;0
67;8;4;9;0,12328767;0,12328767;0,081328921;0,081328921;0,02943;684;0,120105356;0,120105356;0;0;9;0;0
67;4;1;34;0,465753436;0,465753436;0,311128438;0,311128438;0,1126;2584;0,453731358;0,453731358;0;0;34;0;0
67;1;0;15;0,205479458;0,205479458;0,136412501;0,136412501;0,04937;1140;0,200175598;0,200175598;0;0;15;0;0
68;8;11;30;1;1;1;1;0,84814;2910;1;1;30;0;0;0;0
69;8;4;11;0,094827585;0,094827585;0,116459437;0,116459437;0,03609;836;0,08850307;0,08850307;0;0;11;0;0
69;9;11;30;0,258620679;0,258620679;0,209085315;0,209085315;0,06479;2910;0,308066905;0,308066905;30;0;0;0;0
69;4;1;59;0,508620679;0,508620679;0,504567266;0,504567266;0,15635;4484;0,474698275;0,474698275;0;0;59;0;0
69;1;0;16;0,137931034;0,137931034;0,169887975;0,169887975;0,05264;1216;0,128731743;0,128731743;0;0;16;0;0
71;9;10;10;0,169491529;0,169491529;0,168633461;0,168633461;0,03271;760;0,169491529;0,169491529;0;0;10;0;0
71;10;5;7;0,118644066;0,118644066;0,117339313;0,117339313;0,02276;532;0,118644066;0,118644066;0;0;7;0;0
71;5;2;11;0,186440676;0,186440676;0,185744628;0,185744628;0,03603;836;0,186440676;0,186440676;0;0;11;0;0
71;2;0;31;0,525423706;0,525423706;0,528282583;0,528282583;0,10246;2356;0,525423706;0,525423706;0;0;31;0;0
76;6;11;30;1;1;1;1;0,69076;2910;1;1;30;0;0;0;0
77;4;1;39;0,8125;0,8125;0,814319372;0,814319372;0,12912;2964;0,8125;0,8125;0;0;39;0;0
77;10;5;9;0,1875;0,1875;0,185680598;0,185680598;0,02944;684;0,1875;0,1875;0;0;9;0;0
78;9;11;30;0,5;1;0,010096991;1;0,1274;2910;0,5;1;30;0;0;0;0
78;7;11;30;0,5;1;0,989903033;1;12,48979;2910;0,5;1;30;0;0;0;0
90;9;11;30;1;1;1;1;6,41203;2910;1;1;30;0;0;0;0
97;1;11;30;1;1;1;1;1,21479;2910;1;1;30;0;0;0;0
98;2;11;30;0,5;1;0,223668411;1;0,26143;2910;0,5;1;30;0;0;0;0
98;10;11;30;0,5;1;0,776331604;1;0,90739;2910;0,5;1;30;0;0;0;0
99;0;11;30;1;1;1;1;1,38982;2910;1;1;30;0;0;0;0
101;3;2;16;0,216216221;0,567567587;0,215759739;0,567106843;0,05273;1216;0,216216221;0,567567587;0;0;16;0;0
101;2;0;32;0,432432443;0,432432443;0,432893127;0,432893127;0,10579;2432;0,432432443;0,432432443;0;0;32;0;0
101;5;2;26;0,351351351;0,567567587;0,351347119;0,567106843;0,08586;1976;0,351351351;0,567567587;0;0;26;0;0
102;2;0;30;1;1;1;1;0,0991;2280;1;1;0;0;30;0;0
103;4;1;39;0,661016941;0,661016941;0,661592662;0,661592662;0,12899;2964;0,661016941;0,661016941;0;0;39;0;0
103;1;0;20;0,338983059;0,338983059;0,338407367;0,338407367;0,06598;1520;0,338983059;0,338983059;0;0;20;0;0
104;2;0;4;1;1;1;1;0,01329;304;1;1;0;0;4;0;0
105;2;0;30;0,769230783;1;0,771012783;1;0,09903;2280;0,769230783;1;0;0;30;0;0
105;1;0;9;0,230769232;1;0,228987232;1;0,02941;684;0,230769232;1;0;0;9;0;0
107;9;8;15;1;1;1;1;0,06181;1530;1;1;15;0;0;0;0
109;8;11;30;1;1;1;1;2,62868;2910;1;1;30;0;0;0;0
111;10;6;11;1;1;1;1;0,04522;1122;1;1;11;0;0;0;0
113;9;11;30;1;1;1;1;1,52444;2910;1;1;30;0;0;0;0
114;3;11;30;1;0,9375;1;0,947132707;0,14844;2910;1;0,934489429;30;0;0;0;0
114;3;5;2;1;0,0625;1;0,052867297;0,00829;204;1;0,065510601;2;0;0;0;0
115;3;5;4;1;1;1;1;0,01612;408;1;1;4;0;0;0;0
126;8;4;15;0,375;0,375;0,3663041;0,3663041;0,04933;1140;0,362595409;0,362595409;0;0;15;0;0
126;2;5;4;0,100000001;0,100000001;0,11958985;0,11958985;0,01611;408;0,129770994;0,129770994;4;0;0;0;0
126;1;0;21;0,524999976;0,524999976;0,514106035;0,514106035;0,06924;1596;0,507633567;0,507633567;0;0;21;0;0
127;4;1;2;1;1;1;1;0,0062;152;1;1;0;0;2;0;0
129;4;10;8;1;1;1;1;0,0332;816;1;1;8;0;0;0;0
130;4;10;20;0,317460328;0,317460328;0,36769104;0,36769104;0,08252;2040;0,384325534;0,384325534;20;0;0;0;0
130;5;2;12;0,190476194;0,190476194;0,175210774;0,175210774;0,03932;912;0,171816126;0,171816126;0;0;12;0;0
130;2;0;31;0,492063493;0,492063493;0,457098186;0,457098186;0,10258;2356;0,443858325;0,443858325;0;0;31;0;0
131;4;11;30;1;1;1;1;0,94016;2910;1;1;30;0;0;0;0
132;5;11;30;1;1;1;1;2,9523;2910;1;1;30;0;0;0;0
135;6;11;30;1;1;1;1;1,74167;2910;1;1;30;0;0;0;0
136;7;5;6;0,125;0,125;0,123164609;0,123164609;0,01945;456;0,125;0,125;0;0;6;0;0
136;5;2;11;0,229166672;0,229166672;0,227878675;0,227878675;0,036;836;0,229166672;0,229166672;0;0;11;0;0
136;2;0;31;0,645833313;0,645833313;0,648956716;0,648956716;0,10251;2356;0,645833313;0,645833313;0;0;31;0;0
137;6;5;23;0,353846163;0,353846163;0,354062915;0,354062915;0,07593;1748;0,353846163;0,353846163;0;0;23;0;0
137;5;2;11;0,169230774;0,169230774;0,168066025;0,168066025;0,03604;836;0,169230774;0,169230774;0;0;11;0;0
137;2;0;31;0,476923078;0,476923078;0,47787106;0,47787106;0,10248;2356;0,476923078;0,476923078;0;0;31;0;0
138;10;5;28;0,394366205;0,394366205;0,394887477;0,394887477;0,09264;2128;0,394366205;0,394366205;0;0;28;0;0
138;5;2;12;0,169014081;0,169014081;0,16781579;0,16781579;0,03937;912;0,169014081;0,169014081;0;0;12;0;0
138;2;0;31;0,436619729;0,436619729;0,437296748;0,437296748;0,10258;2356;0,436619729;0,436619729;0;0;31;0;0
142;7;11;30;1;1;1;1;16,54333;2910;1;1;30;0;0;0;0
158;5;7;7;1;1;1;1;0,02856;714;1;1;7;0;0;0;0
163;1;4;15;0,333333343;0,333333343;0,014543167;0,014543167;0,06175;1530;0,344594598;0,344594598;15;0;0;0;0
163;10;11;30;0,666666687;0,666666687;0,985456824;0,985456824;4,18439;2910;0,655405402;0,655405402;30;0;0;0;0
167;4;1;14;0,245614037;0,245614037;0,377594411;0,377594411;0,04608;1064;0,245614037;0,245614037;0;0;14;0;0
167;1;0;23;0,403508782;0,403508782;0,549012244;0,549012244;0,067;1748;0,403508782;0,403508782;0;0;23;0;0
167;9;10;20;0,350877196;0,350877196;0,073393345;0,073393345;0,00896;1520;0,350877196;0,350877196;0;0;20;0;0
168;9;10;96;0,422907501;0,422907501;0,25538668;0,25538668;0,14487;7296;0,412343174;0,412343174;0;0;96;0;0
168;1;0;64;0,281938314;0,422907501;0,330571622;0,517148614;0,18752;4864;0,274895459;0,412343174;0;0;64;0;0
168;10;5;7;0,030837005;0,030837005;0,040268999;0,040268999;0,02284;532;0,030066689;0,030066689;0;0;7;0;0
168;5;2;11;0,048458152;0,048458152;0,063644923;0,063644923;0,0361;836;0,047247656;0,047247656;0;0;11;0;0
168;2;0;32;0,140969157;0,422907501;0,186577007;0,517148614;0,10583;2432;0,13744773;0,412343174;0;0;32;0;0
168;8;9;17;0,074889868;0,074889868;0,123550773;0,123550773;0,07008;1734;0,097999319;0,097999319;17;0;0;0;0
181;9;11;30;1;1;1;1;2,21455;2910;1;1;30;0;0;0;0
183;9;8;20;1;1;1;1;0,08252;2040;1;1;20;0;0;0;0
203;10;9;25;1;1;1;1;0,10329;2550;1;1;25;0;0;0;0
217;7;6;20;1;1;1;1;0,08252;2040;1;1;20;0;0;0;0
218;6;7;6;1;1;1;1;0,02441;612;1;1;6;0;0;0;0
220;3;2;17;1;1;1;1;0,07007;1734;1;1;17;0;0;0;0
230;3;11;30;1;1;1;1;7,16765;2910;1;1;30;0;0;0;0
238;1;11;30;1;1;1;1;3,65996;2910;1;1;30;0;0;0;0
