second;src;dst;packetcount;src_ratio;dst_ratio;src_duration_ratio;dst_duration_ratio;TotalPacketDuration;TotalPacketLenght;src_packet_ratio;dst_packet_ratio;DioCount;DisCount;DaoCount;OtherMsg;label
61.0;2;0;156;0.5064935088157654;0.5064935088157654;0.3762555718421936;0.3762555718421936;0.2057647705078125;11856;0.5064935088157654;0.5064935088157654;0;0;156;0;1
61.0;8;10;152;0.4935064911842346;0.4935064911842346;0.6237444281578064;0.6237444281578064;0.3411102294921875;11552;0.4935064911842346;0.4935064911842346;0;0;152;0;1
62.0;2;0;156;0.46846845746040344;0.5195195078849792;0.19765181839466095;0.27124783396720886;0.1505279541015625;11856;0.46846845746040344;0.5195195078849792;0;0;156;0;1
62.0;8;10;160;0.48048049211502075;0.48048049211502075;0.7287521958351135;0.7287521958351135;0.5550041198730469;12160;0.48048049211502075;0.48048049211502075;0;0;160;0;1
62.0;7;0;17;0.051051050424575806;0.5195195078849792;0.07359600067138672;0.27124783396720886;0.056049346923828125;1292;0.051051050424575806;0.5195195078849792;0;0;17;0;1
64.0;6;12;30;0.3333333432674408;1.0;0.22145403921604156;1.0;0.5383682250976562;2910;0.3333333432674408;1.0;30;0;0;0;1
64.0;7;12;30;0.3333333432674408;1.0;0.08965805172920227;1.0;0.21796417236328125;2910;0.3333333432674408;1.0;30;0;0;0;1
64.0;9;12;30;0.3333333432674408;1.0;0.688887894153595;1.0;1.6747283935546875;2910;0.3333333432674408;1.0;30;0;0;0;1
66.0;11;6;24;0.31168830394744873;0.31168830394744873;0.31226709485054016;0.31226709485054016;0.07927703857421875;1824;0.31168830394744873;0.31168830394744873;0;0;24;0;1
66.0;6;7;3;0.03896103799343109;0.5194805264472961;0.0373542495071888;0.5197138786315918;0.00948333740234375;228;0.03896103799343109;0.5194805264472961;0;0;3;0;1
66.0;7;0;13;0.16883116960525513;0.16883116960525513;0.16801899671554565;0.16801899671554565;0.04265594482421875;988;0.16883116960525513;0.16883116960525513;0;0;13;0;1
66.0;9;7;37;0.48051947355270386;0.5194805264472961;0.4823596477508545;0.5197138786315918;0.12245941162109375;2812;0.48051947355270386;0.5194805264472961;0;0;37;0;1
67.0;7;0;3;1.0;1.0;1.0;1.0;0.00949859619140625;228;1.0;1.0;0;0;3;0;1
68.0;10;6;21;0.7241379022598267;0.7241379022598267;0.7268726229667664;0.7268726229667664;0.06929779052734375;1596;0.7241379022598267;0.7241379022598267;0;0;21;0;1
68.0;6;7;3;0.1034482792019844;0.1034482792019844;0.09915173053741455;0.09915173053741455;0.00945281982421875;228;0.1034482792019844;0.1034482792019844;0;0;3;0;1
68.0;7;0;5;0.17241379618644714;0.17241379618644714;0.17397567629814148;0.17397567629814148;0.0165863037109375;380;0.17241379618644714;0.17241379618644714;0;0;5;0;1
69.0;7;0;9;0.11249999701976776;0.11249999701976776;0.05858542025089264;0.05858542025089264;0.0289306640625;684;0.09318801015615463;0.09318801015615463;0;0;9;0;1
69.0;1;12;30;0.375;0.75;0.2121713012456894;0.8683218359947205;0.10477447509765625;2910;0.3964577615261078;0.7929155230522156;30;0;0;0;1
69.0;3;12;30;0.375;0.75;0.6561505198478699;0.8683218359947205;0.3240203857421875;2910;0.3964577615261078;0.7929155230522156;30;0;0;0;1
69.0;6;7;11;0.13750000298023224;0.13750000298023224;0.07309272885322571;0.07309272885322571;0.03609466552734375;836;0.1138964593410492;0.1138964593410492;0;0;11;0;1
70.0;2;12;30;1.0;1.0;1.0;1.0;0.859619140625;2910;1.0;1.0;30;0;0;0;1
71.0;11;12;30;1.0;1.0;1.0;1.0;2.786376953125;2910;1.0;1.0;30;0;0;0;1
