second;src;dst;packetcount;src_ratio;dst_ratio;src_duration_ratio;dst_duration_ratio;TotalPacketDuration;TotalPacketLenght;src_packet_ratio;dst_packet_ratio;DioCount;DisCount;DaoCount;OtherMsg;label
60.0;2;0;10;0.25;0.25;0.07182671874761581;0.07182671874761581;0.03273773193359375;760;0.20708446204662323;0.20708446204662323;0;0;10;0;0
60.0;7;11;30;0.75;0.75;0.928173303604126;0.928173303604126;0.4230499267578125;2910;0.7929155230522156;0.7929155230522156;30;0;0;0;0
61.0;1;0;63;0.5121951103210449;0.5121951103210449;0.19614453613758087;0.19614453613758087;0.1611175537109375;4788;0.4513574540615082;0.4513574540615082;0;0;63;0;0
61.0;5;11;30;0.24390244483947754;0.4878048896789551;0.06650691479444504;0.8038554787635803;0.054630279541015625;2910;0.2743212580680847;0.5486425161361694;30;0;0;0;0
61.0;6;11;30;0.24390244483947754;0.4878048896789551;0.7373485565185547;0.8038554787635803;0.6056747436523438;2910;0.2743212580680847;0.5486425161361694;30;0;0;0;0
62.0;3;11;30;1.0;1.0;1.0;1.0;1.8419647216796875;2910;1.0;1.0;30;0;0;0;0
64.0;9;11;30;1.0;1.0;1.0;1.0;4.012809753417969;2910;1.0;1.0;30;0;0;0;0
68.0;1;11;30;1.0;1.0;1.0;1.0;3.972991943359375;2910;1.0;1.0;30;0;0;0;0
72.0;10;11;30;0.5555555820465088;0.5555555820465088;0.9151432514190674;0.9151432514190674;0.8497848510742188;2910;0.6147021651268005;0.6147021651268005;30;0;0;0;0
72.0;4;1;2;0.03703703731298447;0.03703703731298447;0.006622244603931904;0.006622244603931904;0.0061492919921875;152;0.03210815414786339;0.03210815414786339;0;0;2;0;0
72.0;1;0;22;0.40740740299224854;0.40740740299224854;0.07823450863361359;0.07823450863361359;0.0726470947265625;1672;0.3531896770000458;0.3531896770000458;0;0;22;0;0
75.0;9;11;30;1.0;1.0;1.0;1.0;0.7293853759765625;2910;1.0;1.0;30;0;0;0;0
76.0;4;11;30;1.0;1.0;1.0;1.0;2.9856491088867188;2910;1.0;1.0;30;0;0;0;0
79.0;5;3;23;1.0;1.0;1.0;1.0;0.09496307373046875;2346;1.0;1.0;23;0;0;0;0
80.0;10;4;35;0.43209877610206604;0.43209877610206604;0.43268656730651855;0.43268656730651855;0.1158599853515625;2660;0.43209877610206604;0.43209877610206604;0;0;35;0;0
80.0;4;1;23;0.2839506268501282;0.2839506268501282;0.2838704288005829;0.2838704288005829;0.07601165771484375;1748;0.2839506268501282;0.2839506268501282;0;0;23;0;0
80.0;1;0;23;0.2839506268501282;0.2839506268501282;0.28344303369522095;0.28344303369522095;0.075897216796875;1748;0.2839506268501282;0.2839506268501282;0;0;23;0;0
81.0;8;11;30;0.4888888895511627;0.3333333432674408;0.652350902557373;0.546817421913147;0.23876953125;2910;0.531994640827179;0.38955822587013245;30;0;0;0;0
