second;src;dst;packetcount;src_ratio;dst_ratio;src_duration_ratio;dst_duration_ratio;TotalPacketDuration;TotalPacketLenght;src_packet_ratio;dst_packet_ratio;DioCount;DisCount;DaoCount;OtherMsg;label
60.0;6;11;9;0.05454545468091965;1.0;0.19021491706371307;1.0;0.22600936889648438;873;0.08040895313024521;1.0;9;0;0;0;1
60.0;10;11;156;0.9454545378684998;1.0;0.8097850680351257;1.0;0.9621696472167969;9984;0.9195910692214966;1.0;0;156;0;156;1
61.0;4;11;30;0.16129031777381897;1.0;0.22411607205867767;1.0;0.23258590698242188;2910;0.22568637132644653;1.0;30;0;0;0;1
61.0;10;11;156;0.8387096524238586;1.0;0.7758839130401611;1.0;0.805206298828125;9984;0.7743136286735535;1.0;0;156;0;312;1
62.0;10;11;156;0.8387096524238586;1.0;0.6050368547439575;1.0;0.5643577575683594;9984;0.7743136286735535;1.0;0;156;0;468;1
62.0;5;11;30;0.16129031777381897;1.0;0.39496317505836487;1.0;0.368408203125;2910;0.22568637132644653;1.0;30;0;0;0;1
63.0;7;11;30;0.15000000596046448;1.0;0.10985682904720306;1.0;0.09228897094726562;2910;0.20418186485767365;1.0;30;0;0;0;1
63.0;10;11;156;0.7799999713897705;1.0;0.8179209232330322;1.0;0.6871223449707031;9984;0.7005332708358765;1.0;0;156;0;624;1
63.0;4;11;14;0.07000000029802322;1.0;0.07222224771976471;1.0;0.060672760009765625;1358;0.09528487175703049;1.0;14;0;0;0;1
64.0;4;11;16;0.07920791953802109;1.0;0.15092244744300842;1.0;0.18361663818359375;1552;0.10743458569049835;1.0;16;0;0;0;1
64.0;6;11;30;0.14851485192775726;1.0;0.13167697191238403;1.0;0.1602020263671875;2910;0.20143984258174896;1.0;30;0;0;0;1
64.0;10;11;156;0.7722772359848022;1.0;0.7174005508422852;1.0;0.8728103637695312;9984;0.6911255717277527;1.0;0;156;0;780;1
65.0;9;11;30;0.1388888955116272;1.0;0.2649942934513092;1.0;0.26781463623046875;2910;0.18413059413433075;1.0;30;0;0;0;1
65.0;10;11;156;0.7222222089767456;1.0;0.6814225316047668;1.0;0.6886749267578125;9984;0.6317387819290161;1.0;0;156;0;936;1
65.0;8;11;30;0.1388888955116272;1.0;0.05358315631747246;1.0;0.0541534423828125;2910;0.18413059413433075;1.0;30;0;0;0;1
66.0;10;11;156;0.7323943376541138;1.0;0.7819735407829285;1.0;0.606048583984375;9984;0.6435892581939697;1.0;0;156;0;1092;1
66.0;3;11;30;0.14084507524967194;1.0;0.06701842695474625;1.0;0.05194091796875;2910;0.18758460879325867;1.0;30;0;0;0;1
66.0;5;11;27;0.1267605572938919;1.0;0.15100803971290588;1.0;0.117034912109375;2619;0.1688261479139328;1.0;27;0;0;0;1
67.0;5;11;3;0.01886792480945587;1.0;0.18628332018852234;1.0;0.22442626953125;291;0.028321167454123497;1.0;3;0;0;0;1
67.0;10;11;156;0.9811320900917053;1.0;0.8137166500091553;1.0;0.9803314208984375;9984;0.9716788530349731;1.0;0;156;0;1248;1
68.0;6;11;30;0.1744185984134674;1.0;0.40962764620780945;1.0;0.3244781494140625;2910;0.2425404191017151;1.0;30;0;0;0;1
68.0;10;11;142;0.8255813717842102;1.0;0.5903723239898682;1.0;0.4676513671875;9088;0.7574595808982849;1.0;0;142;0;1390;1
69.0;10;11;170;0.9714285731315613;1.0;0.9783598184585571;1.0;0.979248046875;10880;0.9573251008987427;1.0;0;170;0;1560;1
69.0;4;11;5;0.02857142873108387;1.0;0.021640203893184662;1.0;0.02165985107421875;485;0.04267488047480583;1.0;5;0;0;0;1
70.0;4;11;25;0.13812154531478882;1.0;0.19064129889011383;1.0;0.22693634033203125;2425;0.1954226791858673;1.0;25;0;0;0;1
70.0;10;11;156;0.8618784546852112;1.0;0.8093587160110474;1.0;0.9634475708007812;9984;0.8045773506164551;1.0;0;156;0;1716;1
71.0;5;11;30;0.1764705926179886;1.0;0.4305742681026459;1.0;0.34865570068359375;2910;0.24515585601329803;1.0;30;0;0;0;1
71.0;10;11;140;0.8235294222831726;1.0;0.5694257020950317;1.0;0.461090087890625;8960;0.7548441290855408;1.0;0;140;0;1856;1
72.0;10;11;172;0.8514851331710815;1.0;0.8256219625473022;1.0;0.8398513793945312;11008;0.790918231010437;1.0;0;172;0;2028;1
72.0;6;11;30;0.14851485192775726;1.0;0.17437805235385895;1.0;0.1773834228515625;2910;0.209081768989563;1.0;30;0;0;0;1
73.0;4;11;30;0.16129031777381897;1.0;0.1812509149312973;1.0;0.21784210205078125;2910;0.22568637132644653;1.0;30;0;0;0;1
73.0;10;11;156;0.8387096524238586;1.0;0.8187490701675415;1.0;0.984039306640625;9984;0.7743136286735535;1.0;0;156;0;2184;1
74.0;10;11;156;0.8387096524238586;1.0;0.8255093097686768;1.0;0.6461257934570312;9984;0.7743136286735535;1.0;0;156;0;2340;1
74.0;9;11;30;0.16129031777381897;1.0;0.17449069023132324;1.0;0.13657379150390625;2910;0.22568637132644653;1.0;30;0;0;0;1
75.0;9;11;30;0.16129031777381897;1.0;0.18497972190380096;1.0;0.2251434326171875;2910;0.22568637132644653;1.0;30;0;0;0;1
75.0;10;11;156;0.8387096524238586;1.0;0.8150202631950378;1.0;0.9919815063476562;9984;0.7743136286735535;1.0;0;156;0;2496;1
76.0;10;11;156;0.8764045238494873;1.0;0.8777005672454834;1.0;0.6843643188476562;9984;0.8238983154296875;1.0;0;156;0;2652;1
76.0;6;11;22;0.12359550595283508;1.0;0.12229941040277481;1.0;0.09535980224609375;2134;0.1761016696691513;1.0;22;0;0;0;1
77.0;6;11;8;0.03418803587555885;1.0;0.04467591643333435;1.0;0.044830322265625;776;0.04421652480959892;1.0;8;0;0;0;1
77.0;5;11;30;0.12820513546466827;1.0;0.12094278633594513;1.0;0.12136077880859375;2910;0.16581197082996368;1.0;30;0;0;0;1
