second;src;dst;packetcount;src_ratio;dst_ratio;src_duration_ratio;dst_duration_ratio;TotalPacketDuration;TotalPacketLenght;src_packet_ratio;dst_packet_ratio;DioCount;DisCount;DaoCount;OtherMsg;label
60.0;2;11;7;1.0;1.0;1.0;1.0;2.6086502075195312;679;1.0;1.0;7;0;0;0;1
62.0;1;0;8;1.0;1.0;1.0;1.0;0.026092529296875;608;1.0;1.0;0;0;8;0;1
63.0;4;11;30;0.4000000059604645;0.4933333396911621;0.5060908198356628;0.6020238399505615;0.16006851196289062;2910;0.44928207993507385;0.554114580154419;30;0;0;0;1
63.0;1;0;38;0.5066666603088379;0.5066666603088379;0.3979761600494385;0.3979761600494385;0.12587356567382812;2888;0.44588544964790344;0.44588544964790344;0;0;38;0;1
63.0;0;11;7;0.09333333373069763;0.4933333396911621;0.09593303501605988;0.6020238399505615;0.03034210205078125;679;0.1048324853181839;0.554114580154419;7;0;0;0;1
64.0;0;11;23;1.0;1.0;1.0;1.0;2.0903396606445312;2231;1.0;1.0;23;0;0;0;1
66.0;10;11;30;0.6382978558540344;0.6382978558540344;0.9162085056304932;0.9162085056304932;0.612823486328125;2910;0.6925273537635803;0.6925273537635803;30;0;0;0;1
66.0;1;0;17;0.3617021143436432;0.3617021143436432;0.08379149436950684;0.08379149436950684;0.0560455322265625;1292;0.3074726462364197;0.3074726462364197;0;0;17;0;1
67.0;1;11;30;0.5;1.0;0.10414869338274002;1.0;0.11328887939453125;2910;0.5;1.0;30;0;0;0;1
67.0;2;11;30;0.5;1.0;0.8958513140678406;1.0;0.9744720458984375;2910;0.5;1.0;30;0;0;0;1
68.0;6;11;30;0.34090909361839294;0.6818181872367859;0.784745991230011;0.9058996438980103;0.6024017333984375;2910;0.3661298453807831;0.7322596907615662;30;0;0;0;1
68.0;4;11;30;0.34090909361839294;0.6818181872367859;0.12115368992090225;0.9058996438980103;0.0930023193359375;2910;0.3661298453807831;0.7322596907615662;30;0;0;0;1
68.0;2;0;28;0.3181818127632141;0.3181818127632141;0.09410034120082855;0.09410034120082855;0.072235107421875;2128;0.26774030923843384;0.26774030923843384;0;0;28;0;1
69.0;2;0;4;1.0;1.0;1.0;1.0;0.012786865234375;304;1.0;1.0;0;0;4;0;1
70.0;3;11;30;1.0;1.0;1.0;1.0;1.6708145141601562;2910;1.0;1.0;30;0;0;0;1
71.0;10;11;30;0.5;1.0;0.15557965636253357;1.0;0.07442474365234375;2910;0.5;1.0;30;0;0;0;1
71.0;0;11;30;0.5;1.0;0.8444203734397888;1.0;0.4039459228515625;2910;0.5;1.0;30;0;0;0;1
72.0;8;11;30;1.0;1.0;1.0;1.0;0.8399429321289062;2910;1.0;1.0;30;0;0;0;1
73.0;5;11;30;0.3896103799343109;0.6883116960525513;0.476408451795578;0.7681486010551453;0.16277313232421875;2910;0.4178032875061035;0.7381191849708557;30;0;0;0;1
73.0;2;0;24;0.6103895902633667;0.31168830394744873;0.5235915184020996;0.23185136914253235;0.07921600341796875;1824;0.5821967124938965;0.2618808448314667;0;0;24;0;1
73.0;2;11;23;0.6103895902633667;0.6883116960525513;0.5235915184020996;0.7681486010551453;0.09967803955078125;2231;0.5821967124938965;0.7381191849708557;23;0;0;0;1
74.0;2;11;7;0.18918919563293457;1.0;0.7141281366348267;1.0;0.76055908203125;679;0.18918919563293457;1.0;7;0;0;0;1
74.0;9;11;30;0.8108108043670654;1.0;0.2858718931674957;1.0;0.3044586181640625;2910;0.8108108043670654;1.0;30;0;0;0;1
75.0;1;11;30;0.5;1.0;0.36707308888435364;1.0;0.4244842529296875;2910;0.5;1.0;30;0;0;0;1
75.0;4;11;30;0.5;1.0;0.6329269409179688;1.0;0.7319183349609375;2910;0.5;1.0;30;0;0;0;1
76.0;1;0;82;0.7321428656578064;0.7321428656578064;0.7974076271057129;0.7974076271057129;0.22200775146484375;6232;0.6816889047622681;0.6816889047622681;0;0;82;0;1
76.0;10;11;30;0.2678571343421936;0.2678571343421936;0.20259234309196472;0.20259234309196472;0.05640411376953125;2910;0.31831109523773193;0.31831109523773193;30;0;0;0;1
77.0;7;11;30;0.5;1.0;0.11162217706441879;1.0;0.27013397216796875;2910;0.5;1.0;30;0;0;0;1
77.0;0;11;30;0.5;1.0;0.888377845287323;1.0;2.1499404907226562;2910;0.5;1.0;30;0;0;0;1
79.0;5;11;30;0.75;1.0;0.9167923927307129;1.0;0.47747039794921875;2910;0.75;1.0;30;0;0;0;1
79.0;1;11;10;0.25;1.0;0.08320759236812592;1.0;0.0433349609375;970;0.25;1.0;10;0;0;0;1
80.0;1;11;20;1.0;1.0;1.0;1.0;1.062774658203125;1940;1.0;1.0;20;0;0;0;1
81.0;1;0;22;0.30136987566947937;0.30136987566947937;0.11767829209566116;0.11767829209566116;0.07271575927734375;1672;0.2526061236858368;0.2526061236858368;0;0;22;0;1
81.0;2;11;30;0.4109589159488678;0.698630154132843;0.7350972890853882;0.8823217153549194;0.45423126220703125;2910;0.4396434426307678;0.7473938465118408;30;0;0;0;1
81.0;9;11;21;0.2876712381839752;0.698630154132843;0.14722441136837006;0.8823217153549194;0.090972900390625;2037;0.307750403881073;0.7473938465118408;21;0;0;0;1
82.0;9;11;9;0.05232558026909828;0.4011628031730652;0.14420323073863983;0.6837762594223022;0.12213134765625;873;0.06011982634663582;0.460918664932251;9;0;0;0;1
82.0;4;11;30;0.447674423456192;0.4011628031730652;0.4815872311592102;0.6837762594223022;0.317047119140625;2910;0.44638797640800476;0.460918664932251;30;0;0;0;1
82.0;4;1;47;0.447674423456192;0.2732558250427246;0.4815872311592102;0.10724259167909622;0.09082794189453125;3572;0.44638797640800476;0.24598856270313263;0;0;47;0;1
82.0;1;0;34;0.19767442345619202;0.19767442345619202;0.13251958787441254;0.13251958787441254;0.11223602294921875;2584;0.17794917523860931;0.17794917523860931;0;0;34;0;1
82.0;10;11;30;0.1744185984134674;0.4011628031730652;0.16522835195064545;0.6837762594223022;0.1399383544921875;2910;0.20039942860603333;0.460918664932251;30;0;0;0;1
82.0;5;2;22;0.12790697813034058;0.12790697813034058;0.07646158337593079;0.07646158337593079;0.06475830078125;1672;0.11514358222484589;0.11514358222484589;0;0;22;0;1
83.0;4;1;280;0.5128205418586731;0.5128205418586731;0.48897379636764526;0.48897379636764526;0.48720550537109375;21280;0.5128205418586731;0.5128205418586731;0;0;280;0;1
83.0;5;2;8;0.014652014710009098;0.014652014710009098;0.023874791339039803;0.023874791339039803;0.0237884521484375;608;0.014652014710009098;0.014652014710009098;0;0;8;0;1
83.0;2;0;258;0.47252747416496277;0.47252747416496277;0.4871514141559601;0.4871514141559601;0.48538970947265625;19608;0.47252747416496277;0.47252747416496277;0;0;258;0;1
84.0;2;0;25;0.3125;0.3125;0.23932290077209473;0.23932290077209473;0.08208465576171875;1900;0.283159464597702;0.283159464597702;0;0;25;0;1
84.0;5;11;30;0.375;0.375;0.5202197432518005;0.5202197432518005;0.17842864990234375;2910;0.43368107080459595;0.43368107080459595;30;0;0;0;1
84.0;8;4;25;0.3125;0.3125;0.24045734107494354;0.24045734107494354;0.0824737548828125;1900;0.283159464597702;0.283159464597702;0;0;25;0;1
85.0;3;11;30;0.5;1.0;0.2651273310184479;1.0;0.28374481201171875;2910;0.5;1.0;30;0;0;0;1
85.0;0;11;30;0.5;1.0;0.7348726987838745;1.0;0.7864761352539062;2910;0.5;1.0;30;0;0;0;1
86.0;8;11;30;1.0;1.0;1.0;1.0;1.0217437744140625;2910;1.0;1.0;30;0;0;0;1
87.0;10;11;30;0.5555555820465088;0.5555555820465088;0.607607364654541;0.607607364654541;0.1226043701171875;2910;0.6147021651268005;0.6147021651268005;30;0;0;0;1
87.0;3;2;24;0.4444444477558136;0.4444444477558136;0.3923926055431366;0.3923926055431366;0.0791778564453125;1824;0.38529783487319946;0.38529783487319946;0;0;24;0;1
88.0;1;11;30;0.5;1.0;0.3931901752948761;1.0;0.105194091796875;2910;0.5;1.0;30;0;0;0;1
88.0;2;11;30;0.5;1.0;0.6068097949028015;1.0;0.16234588623046875;2910;0.5;1.0;30;0;0;0;1
89.0;4;11;30;0.09771987050771713;0.09771987050771713;0.2157168984413147;0.2157168984413147;0.15171051025390625;2910;0.1214422807097435;0.1214422807097435;30;0;0;0;1
89.0;1;0;135;0.4397394061088562;0.4397394061088562;0.5879953503608704;0.5879953503608704;0.4135284423828125;10260;0.42817795276641846;0.42817795276641846;0;0;135;0;1
89.0;8;4;142;0.46254071593284607;0.46254071593284607;0.19628773629665375;0.19628773629665375;0.1380462646484375;10792;0.45037975907325745;0.45037975907325745;0;0;142;0;1
90.0;9;11;30;1.0;1.0;1.0;1.0;1.1353607177734375;2910;1.0;1.0;30;0;0;0;1
91.0;3;11;30;0.6129032373428345;0.5806451439857483;0.6912493109703064;0.7583341598510742;0.31659698486328125;2910;0.5742501616477966;0.6386247277259827;30;0;0;0;1
91.0;5;11;30;0.19354838132858276;0.5806451439857483;0.23395195603370667;0.7583341598510742;0.1647491455078125;2910;0.2128749042749405;0.6386247277259827;30;0;0;0;1
91.0;3;2;65;0.6129032373428345;0.4193548262119293;0.6912493109703064;0.24166585505008698;0.1701812744140625;4940;0.5742501616477966;0.36137527227401733;0;0;65;0;1
91.0;10;11;30;0.19354838132858276;0.5806451439857483;0.07479875534772873;0.7583341598510742;0.05267333984375;2910;0.2128749042749405;0.6386247277259827;30;0;0;0;1
92.0;3;2;79;0.7247706651687622;0.7247706651687622;0.8040228486061096;0.8040228486061096;0.222015380859375;6004;0.6735472083091736;0.6735472083091736;0;0;79;0;1
92.0;0;11;30;0.2752293646335602;0.2752293646335602;0.195977121591568;0.195977121591568;0.05411529541015625;2910;0.32645276188850403;0.32645276188850403;30;0;0;0;1
93.0;8;11;6;1.0;1.0;1.0;1.0;0.02599334716796875;582;1.0;1.0;6;0;0;0;1
94.0;8;11;24;1.0;1.0;1.0;1.0;1.0086212158203125;2328;1.0;1.0;24;0;0;0;1
95.0;2;11;30;1.0;1.0;1.0;1.0;1.6119537353515625;2910;1.0;1.0;30;0;0;0;1
96.0;5;2;8;1.0;1.0;1.0;1.0;0.03271484375;816;1.0;1.0;8;0;0;0;1
97.0;9;11;30;0.5;1.0;0.12345905601978302;1.0;0.1744384765625;2910;0.5;1.0;30;0;0;0;1
